name,twitterHandler,linkTwitter,project,image,note
Dan Schatt,@dschatt,https://x.com/dschatt,Co-founder and CEO of Cred,,
Vlad Tenev,@vladtenev,https://x.com/vladtenev,Co-founder and CEO of Robinhood,,
Joseph Lubin,@ethereumJoseph,https://x.com/ethereumJoseph,Founder of ConsenSys and co-founder of Ethereum,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Joseph%20Lubin.jpg?alt=media,
Alex Wilson,x,x,Co-founder of The Giving Block,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Fred%20Wilson.jpg?alt=media,
Michael Anderson,@im_manderson,https://x.com/im_manderson,Co-founder of Framework Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Kong.jpg?alt=media,
Matt Kane,@MattKaneArtist,https://x.com/MattKaneArtist,Artist,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Matt%20Hall.png?alt=media,
Paolo Ardoino ,@paoloardoino,https://x.com/paoloardoino,Chief technology officer of Bitfinex and Tether,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Paolo%20Ardoino%20%F0%9F%A4%96%F0%9F%8D%90.jpg?alt=media,
Kevin Chou,@KevinChou,https://x.com/KevinChou,Co-founder and CEO of Rally,,
Ran Neuner,@cryptomanran,https://x.com/cryptomanran,"Host of ""Crypto Banter"" and CNBC's ""Crypto Trader""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ran%20Neuner.jpg?alt=media,
Kevin Abosch,@kevinabosch,https://x.com/kevinabosch,Artist,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kevin%20Rose.jpg?alt=media,
William Shatner,@WilliamShatner,https://x.com/WilliamShatner,"Actor, author, musician and starship captain",,
KiYoung Ju ,@ki_young_ju,https://x.com/ki_young_ju,CEO of CryptoQuant,,
MM Crypto,@MMCrypto,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/MMCrypto.jpeg?alt=media,
Crypto Rover,@rovercrc,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Crypto%20Rover.jpeg?alt=media,
RobynHD,@TheRobynHD,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/RobynHD.jpeg?alt=media,
Hoss,@hoss_crypto,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Hoss.jpeg?alt=media,
Julian Hosp,@julianhosp,,Co-founder of Cake DeFi,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dr.%20Julian%20Hosp.jpg?alt=media,
Naval Ravikant,@naval,,"Investor, Founder of AngelList",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Naval.jpg?alt=media,
Lark Davis,@TheCryptoLark,,Crypto YouTuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Lark%20Davis.jpg?alt=media,
Max Keiser,@maxkeiser,,"Host of the ""Keiser Report""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Max%20Keiser.jpg?alt=media,
Justin Sun,@justinsuntron,,Founder of Tron,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/H.E.%20Justin%20Sun%20%E5%AD%99%E5%AE%87%E6%99%A8.jpg?alt=media,
Ben Armstrong,@Bitboy_Crypto,,"Host of ""BitBoy Crypto""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/brian%20armstrong.png?alt=media,
Charlie Lee,@SatoshiLite,,Creator of Litecoin,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Charlie%20Lee%20%E2%93%82%EF%B8%8F%F0%9F%95%B8%EF%B8%8F.png?alt=media,
Don Tapscott,@dtapscott,,"CEO of The Tapscott Group, Blockchain Research Institute",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Don%20Tapscott.jpg?alt=media,
Conor Kenny,@ConorKenny,,Crypto YouTuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Conor%20Kenny%20%F0%9F%8F%98.jpg?alt=media,
Ivan Liljeqvist,@IvanOnTech,,Founder of Moralis Web3,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ivan%20on%20Tech%20%F0%9F%A5%95%F0%9F%A5%95%F0%9F%AB%90%F0%9F%AB%90%F0%9F%8D%93%20Moralis.png?alt=media,
Peter McCormack,@PeterMcCormack,,"Host of ""What Bitcoin Did""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Peter%20McCormack%F0%9F%8F%B4%E2%80%8D%E2%98%A0%EF%B8%8F.jpg?alt=media,
Meltem Demirors,@Melt_Dem,,CSO at CoinShares,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Meltem%20Demirors.jpg?alt=media,
Spencer Noon,@spencernoon,,"Investor, DTC Capital",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Spencer%20Noon.png?alt=media,
Nicholas Merten,@Nicholas_Merten,,"Host of ""DataDash""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Nicholas%20Merten.jpg?alt=media,
Santiago Roel Santos,@Santiagoroel,,General Partner at ParaFi Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Santiago%20R%20Santos%20_%20%239159.jpg?alt=media,
Kevin Rose,@kevinrose,,Partner at True Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kevin%20Rose.jpg?alt=media,
Marc Andreessen,@pmarca,,Co-founder of Andreessen Horowitz,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Marc%20Andreessen%20%F0%9F%87%BA%F0%9F%87%B8.jpg?alt=media,
Jimmy Song,@jimmysong,,"Bitcoin Developer, Educator",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jimmy%20Song%20(%E1%84%89%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%A2%E1%84%8C%E1%85%AE%E1%86%AB).jpg?alt=media,
Simon Dixon,@SimonDixonTwitt,,CEO & Co-founder of BnkToTheFuture,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Simon%20Dixon.jpg?alt=media,
Jeff Garzik,@jgarzik,,"CEO of Bloq, Bitcoin Developer",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ser%20Jeff%20Garzik.jpg?alt=media,
Chris Dixon,@cdixon,,General Partner at Andreessen Horowitz,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/cdixon.eth.png?alt=media,
Jameson Lopp,@lopp,,Co-founder of Casa,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jameson%20Lopp.jpg?alt=media,
Arianna Simpson,@AriannaSimpson,,General Partner a16z,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/AriannaSimpson.eth.jpg?alt=media,
Joseph Young,@iamjosephyoung,,Co-founder at DGV,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Joseph%20Young.png?alt=media,
Cathie Wood,@CathieDWood,,"Founder, CEO and CIO @ARKinvest",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Cathie%20Wood.jpg?alt=media,
Joseph Lubin,@ethereumJoseph,,"Co-founder of @ethereum
Founder of @Consensys
Chairman of @ConsensysMesh",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Joseph%20Lubin.jpg?alt=media,
Stani Kulechov,@StaniKulechov,,Founder and CEO of Aave,,
Marc Andreessen,@pmarca,,Co-founder and general partner of Silicon Valley venture capital firm Andreessen Horowitz,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Marc%20Andreessen%20%F0%9F%87%BA%F0%9F%87%B8.jpg?alt=media,
Ryan Selkis,@twobitidiot,,founder & CEO @messaricrypto,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ryan%20Selkis.jpeg?alt=media,
Jesse Powell,@jespow,,Co-Founder & Chairman @KrakenFX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jesse%20Powell.jpeg?alt=media,
Andrei Grachev,@ag_dwf,,head of @DWFLabs,,
cdixon.eth,@cdixon,,Managing Partner @a16zcrypto,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/cdixon.eth.png?alt=media,
Michael Arrington,@arrington,,"Founder of TechCrunch, CrunchBase and Arrington Capital",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Green.jpg?alt=media,
Sreeram Kannan,@sreeramkannan,,Founder EigenLayer,,
Emin Gün Sirer,@el33th4xor,,Founder and CEO @avalabs,,
Fred Ehrsam,@FEhrsam,,Co-founder of @Paradigm and @Coinbase,,
Brad Garlinghouse,@bgarlinghouse,,CEO at Ripple,,
Andrew Kang,@rewkang,,cofounder and partner of Mechanism Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Andrew%20Kim.jpg?alt=media,
Roaring Kitty,@TheRoaringKitty,,OG Short squeeze,,
Yi He,@heyibinance,,Cofounder of Binance,,
Richard Teng,@_RichardTeng,,CEO at Binance,,
Anatoly Yakovenko,@aeyakovenko,,Founder of Solana,,
Pavel Durov,@durov,,Founder of Ton,,
Sandeep Nailwal,@sandeepnailwal,,Founder of Polygon,,
Dominic Williams,@dominic_w,,Founder of ICP,,
Robbie Ferguson,@0xferg,,Founder of ImmutableX,,
Ed Felten,@EdFelten,,Co-Founder of Offchain Labs,,
Steven Goldfeder,@sgoldfed,,Co-Founder of Offchain Labs,,
Harry Kalodner,@hkalodner,,Co-Founder of Offchain Labs,,
Sam Altman,@sama,,"CEO Open AI, Founder of Worldcoin",,
Arthur Hayes,@CryptoHayes,,Co-Founder of BitMEX & CIO @Maelstromfund,,
Willy Woo,@woonomic,,A Bitcoin analyst,,
Erik Voorhees,@ErikVoorhees,,"Founder of Venice.ai, Founder of ShapeShift",,
Arthur,@Arthur_0x,,Founder & CIO @DeFianceCapital,,
Integrated Kyle e/acc,@KyleSamani,,Managing Partner @multicoincap,,
Jesse Walden,@jessewldn,,Member of VariantFund,,
Tommy,@Shaughnessy119,,Co-Founder @Delphi_Digital,,
wishful cynic,@EvgenyGaevoy,,founder and CEO @wintermute_t,,
richerd.eth,@richerd,,Co-Founder ManiFold,,
Michael Egorov,@newmichwill,,Founder Curve Finance,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Moro.jpg?alt=media,
Darren Lau,@Darrenlautf,,Founder of Daily Ape,,
Tarun Chitra,@tarunchitra,,Founder of Convex,,
0xMaki.lens 마키🦇🔊,@0xMaki,,Ex Founder SushiSwap,,
Vance Spencer,@pythianism,,Co-Founder FrameworkVentures,,
sassal.eth/acc 🦇🔊,@sassal0x,,Founder of @thedailygwei,,
icebergy ❄️,@icebergy_,,created @CryptoWhaleBot,,
Dan Robinson,@danrobinson,,coder / lawyer. research at @paradigm,,
Adam Cochran (adamscochran.eth),@adamscochran,,Member of Synthetix,,
Meltem Demirors,@Melt_Dem,,Member of CoinShare,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Meltem%20Demirors.jpg?alt=media,
joseph.eth,"@josephdelong
",,"CTO of AstariaXYZ
Former CTO of Sushi
Former of Ethereum ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/joseph.eth.jpg?alt=media,
Linda Xie,@ljxie,,"Building @Bountycaster.Co-producer 
@EthereumFilm. Previously co-founder 
@ScalarCapital, product manager 
@Coinbase",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Linda%20Xie.jpg?alt=media,
Matt Huang,@matthuang,,Cofounder of Paradigm,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Matt%20Huang.jpg?alt=media,
Jason Choi,@mrjasonchoi,,"Co-founder Tangent, Ex General Partner of The Spartan Group",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jason%20Choi.jpg?alt=media,
Haseeb ,@hosseeb,,Managing partner of Dragonfly,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Haseeb%20%EF%BC%9E_%EF%BC%9C.jpg?alt=media,
Larry Cermak,@lawmaster,,CEO of The Block. ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Larry%20Cermak.jpg?alt=media,
